Year,Units,timeseries,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,|,,,24.8
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,,,,26.1
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,,,,27.3
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,female,|,,,28.8
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,,,,2.8
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,,,,2.8
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,,,,3.2
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,,,,3.1
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,,,,3.6
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,,,,3.4
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,,,,3.7
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,,,,4.1
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,,,,4.5
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,|,,,4.7
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,,,,5.0
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,,,,5.7
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",21 to under 60 years,male,|,,,6.4
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,,,,3.2
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,,,,3.4
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,,,,3.3
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,,,,3.5
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,,,,3.5
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,,,,3.3
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,,,,3.5
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,,,,3.2
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,,,,3.4
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,|,,,3.3
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,,,,3.2
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,,,,3.7
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,,|,,,3.7
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,,,,5.2
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,,,,5.5
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,,,,5.2
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,,,,5.4
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,,,,5.6
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,,,,5.2
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,,,,5.4
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,,,,5.1
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,,,,5.2
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,|,,,5.2
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,,,,5.0
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,,,,5.5
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,female,|,,,5.5
2010,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,.,,,
2011,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,.,,,
2012,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,,,,0.8
2013,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,,,,0.7
2014,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,,,,0.8
2015,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,,,,1.0
2016,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,,,,0.8
2017,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,,,,0.9
2018,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,,,,1.2
2019,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,,,,0.7
2020,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,,,,1.1
2021,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,|,,,0.9
2022,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,,,,1.0
2023,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,,,,1.5
2024,"per 100,000 inhabitants","number of victims per 100,000 of sexual harassment",60 years and older,male,|,,,1.5
