Year,Units,'time series ',type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2020,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,44.0
2021,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,44.0
2022,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,44.0
2023,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,44.0
2024,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,44.0
2025,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,44.0
2026,cumulative number,smta sent by germany,national agricultural research centre,p,,,(5) number of smtas,44.0
2007,cumulative number,smta sent by germany,other,,,,(5) number of smtas,
2008,cumulative number,smta sent by germany,other,,,,(5) number of smtas,0.0
2009,cumulative number,smta sent by germany,other,,,,(5) number of smtas,0.0
2010,cumulative number,smta sent by germany,other,‒,,,(5) number of smtas,0.0
2011,cumulative number,smta sent by germany,other,‒,,,(5) number of smtas,0.0
2012,cumulative number,smta sent by germany,other,‒,,,(5) number of smtas,0.0
2013,cumulative number,smta sent by germany,other,‒,,,(5) number of smtas,0.0
2014,cumulative number,smta sent by germany,other,‒,,,(5) number of smtas,0.0
2015,cumulative number,smta sent by germany,other,‒,,,(5) number of smtas,0.0
2016,cumulative number,smta sent by germany,other,,,,(5) number of smtas,4.0
2017,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6.0
2018,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6.0
2019,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6.0
2020,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6.0
2021,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6.0
2022,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6.0
2023,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6.0
2024,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6.0
2025,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6.0
2026,cumulative number,smta sent by germany,other,p,,,(5) number of smtas,6.0
2007,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,
2008,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,0.0
2009,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,0.0
2010,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0.0
2011,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0.0
2012,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0.0
2013,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0.0
2014,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0.0
2015,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0.0
2016,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0.0
2017,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0.0
2018,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0.0
2019,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0.0
2020,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,1.0
2021,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,1.0
2022,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,1.0
2023,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,1.0
2024,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,1.0
2025,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,1.0
2026,cumulative number,smta sent by germany,regional organization,p,,,(5) number of smtas,1.0
