Year,Completeness of disaggregation,Goal,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,Partially disaggregated,12 - Responsible consumption and production,‒,,,0.0
2018,Partially disaggregated,12 - Responsible consumption and production,‒,,,0.0
2019,Partially disaggregated,12 - Responsible consumption and production,,,,0.03
2020,Partially disaggregated,12 - Responsible consumption and production,,,,24.75
2021,Partially disaggregated,12 - Responsible consumption and production,r,,,25.46
2022,Partially disaggregated,12 - Responsible consumption and production,,,,30.24
2023,Partially disaggregated,12 - Responsible consumption and production,,,,
2024,Partially disaggregated,12 - Responsible consumption and production,,,,
2010,Not disaggregated,12 - Responsible consumption and production,‒,,,0.0
2011,Not disaggregated,12 - Responsible consumption and production,‒,,,0.0
2012,Not disaggregated,12 - Responsible consumption and production,‒,,,0.0
2013,Not disaggregated,12 - Responsible consumption and production,‒,,,0.0
2014,Not disaggregated,12 - Responsible consumption and production,‒,,,0.0
2015,Not disaggregated,12 - Responsible consumption and production,‒,,,0.0
2016,Not disaggregated,12 - Responsible consumption and production,,,,11.06
2017,Not disaggregated,12 - Responsible consumption and production,‒,,,0.0
2018,Not disaggregated,12 - Responsible consumption and production,‒,,,0.0
2019,Not disaggregated,12 - Responsible consumption and production,,,,0.03
2020,Not disaggregated,12 - Responsible consumption and production,,,,28.23
2021,Not disaggregated,12 - Responsible consumption and production,,,,28.19
2022,Not disaggregated,12 - Responsible consumption and production,,,,31.8
2023,Not disaggregated,12 - Responsible consumption and production,…,,,
2024,Not disaggregated,12 - Responsible consumption and production,…,,,
2010,Fully disaggregated,15 - Life on land,.,,,
2011,Fully disaggregated,15 - Life on land,.,,,
2012,Fully disaggregated,15 - Life on land,.,,,
2013,Fully disaggregated,15 - Life on land,.,,,
2014,Fully disaggregated,15 - Life on land,.,,,
2015,Fully disaggregated,15 - Life on land,.,,,
2016,Fully disaggregated,15 - Life on land,.,,,
2017,Fully disaggregated,15 - Life on land,.,,,
2018,Fully disaggregated,15 - Life on land,.,,,
2019,Fully disaggregated,15 - Life on land,.,,,
2020,Fully disaggregated,15 - Life on land,.,,,
2021,Fully disaggregated,15 - Life on land,.,,,
2022,Fully disaggregated,15 - Life on land,.,,,
2023,Fully disaggregated,15 - Life on land,.,,,
2024,Fully disaggregated,15 - Life on land,,,,23.0
2010,Partially disaggregated,15 - Life on land,.,,,
2011,Partially disaggregated,15 - Life on land,.,,,
2012,Partially disaggregated,15 - Life on land,.,,,
2013,Partially disaggregated,15 - Life on land,.,,,
2014,Partially disaggregated,15 - Life on land,.,,,
2015,Partially disaggregated,15 - Life on land,.,,,
2016,Partially disaggregated,15 - Life on land,.,,,
2017,Partially disaggregated,15 - Life on land,.,,,
2018,Partially disaggregated,15 - Life on land,.,,,
2019,Partially disaggregated,15 - Life on land,.,,,
2020,Partially disaggregated,15 - Life on land,.,,,
2021,Partially disaggregated,15 - Life on land,.,,,
2022,Partially disaggregated,15 - Life on land,.,,,
2023,Partially disaggregated,15 - Life on land,.,,,
2024,Partially disaggregated,15 - Life on land,,,,23.0
2010,Not disaggregated,15 - Life on land,.,,,
2011,Not disaggregated,15 - Life on land,.,,,
2012,Not disaggregated,15 - Life on land,.,,,
2013,Not disaggregated,15 - Life on land,.,,,
2014,Not disaggregated,15 - Life on land,.,,,
2015,Not disaggregated,15 - Life on land,.,,,
2016,Not disaggregated,15 - Life on land,.,,,
2017,Not disaggregated,15 - Life on land,.,,,
2018,Not disaggregated,15 - Life on land,.,,,
2019,Not disaggregated,15 - Life on land,.,,,
2020,Not disaggregated,15 - Life on land,.,,,
2021,Not disaggregated,15 - Life on land,.,,,
2022,Not disaggregated,15 - Life on land,.,,,
2023,Not disaggregated,15 - Life on land,.,,,
2024,Not disaggregated,15 - Life on land,,,,54.0
2010,Fully disaggregated,16 - Peace and justice,.,,,
2011,Fully disaggregated,16 - Peace and justice,.,,,
2012,Fully disaggregated,16 - Peace and justice,.,,,
2013,Fully disaggregated,16 - Peace and justice,.,,,
2014,Fully disaggregated,16 - Peace and justice,.,,,
2015,Fully disaggregated,16 - Peace and justice,.,,,
2016,Fully disaggregated,16 - Peace and justice,.,,,
2017,Fully disaggregated,16 - Peace and justice,.,,,
2018,Fully disaggregated,16 - Peace and justice,.,,,
2019,Fully disaggregated,16 - Peace and justice,.,,,
2020,Fully disaggregated,16 - Peace and justice,.,,,
2021,Fully disaggregated,16 - Peace and justice,.,,,
2022,Fully disaggregated,16 - Peace and justice,.,,,
2023,Fully disaggregated,16 - Peace and justice,.,,,
2024,Fully disaggregated,16 - Peace and justice,-,,,0.0
2010,Partially disaggregated,16 - Peace and justice,.,,,
2011,Partially disaggregated,16 - Peace and justice,.,,,
2012,Partially disaggregated,16 - Peace and justice,.,,,
2013,Partially disaggregated,16 - Peace and justice,.,,,
2014,Partially disaggregated,16 - Peace and justice,.,,,
2015,Partially disaggregated,16 - Peace and justice,.,,,
2016,Partially disaggregated,16 - Peace and justice,.,,,
2017,Partially disaggregated,16 - Peace and justice,.,,,
2018,Partially disaggregated,16 - Peace and justice,.,,,
2019,Partially disaggregated,16 - Peace and justice,.,,,
2020,Partially disaggregated,16 - Peace and justice,.,,,
2021,Partially disaggregated,16 - Peace and justice,.,,,
2022,Partially disaggregated,16 - Peace and justice,.,,,
2023,Partially disaggregated,16 - Peace and justice,.,,,
2024,Partially disaggregated,16 - Peace and justice,,,,25.0
2010,Not disaggregated,16 - Peace and justice,.,,,
2011,Not disaggregated,16 - Peace and justice,.,,,
2012,Not disaggregated,16 - Peace and justice,.,,,
2013,Not disaggregated,16 - Peace and justice,.,,,
2014,Not disaggregated,16 - Peace and justice,.,,,
2015,Not disaggregated,16 - Peace and justice,.,,,
2016,Not disaggregated,16 - Peace and justice,.,,,
2017,Not disaggregated,16 - Peace and justice,.,,,
2018,Not disaggregated,16 - Peace and justice,.,,,
2019,Not disaggregated,16 - Peace and justice,.,,,
2020,Not disaggregated,16 - Peace and justice,.,,,
2021,Not disaggregated,16 - Peace and justice,.,,,
2022,Not disaggregated,16 - Peace and justice,.,,,
2023,Not disaggregated,16 - Peace and justice,.,,,
2024,Not disaggregated,16 - Peace and justice,,,,75.0
2010,Fully disaggregated,17 - Partnerships for the goals,.,,,
2011,Fully disaggregated,17 - Partnerships for the goals,.,,,
2012,Fully disaggregated,17 - Partnerships for the goals,.,,,
2013,Fully disaggregated,17 - Partnerships for the goals,.,,,
2014,Fully disaggregated,17 - Partnerships for the goals,.,,,
2015,Fully disaggregated,17 - Partnerships for the goals,.,,,
2016,Fully disaggregated,17 - Partnerships for the goals,.,,,
2017,Fully disaggregated,17 - Partnerships for the goals,.,,,
2018,Fully disaggregated,17 - Partnerships for the goals,.,,,
2019,Fully disaggregated,17 - Partnerships for the goals,.,,,
2020,Fully disaggregated,17 - Partnerships for the goals,.,,,
2021,Fully disaggregated,17 - Partnerships for the goals,.,,,
2022,Fully disaggregated,17 - Partnerships for the goals,.,,,
2023,Fully disaggregated,17 - Partnerships for the goals,.,,,
2024,Fully disaggregated,17 - Partnerships for the goals,,,,25.0
2010,Partially disaggregated,17 - Partnerships for the goals,.,,,
2011,Partially disaggregated,17 - Partnerships for the goals,.,,,
2012,Partially disaggregated,17 - Partnerships for the goals,.,,,
2013,Partially disaggregated,17 - Partnerships for the goals,.,,,
2014,Partially disaggregated,17 - Partnerships for the goals,.,,,
2015,Partially disaggregated,17 - Partnerships for the goals,.,,,
2016,Partially disaggregated,17 - Partnerships for the goals,.,,,
2017,Partially disaggregated,17 - Partnerships for the goals,.,,,
2018,Partially disaggregated,17 - Partnerships for the goals,.,,,
2019,Partially disaggregated,17 - Partnerships for the goals,.,,,
2020,Partially disaggregated,17 - Partnerships for the goals,.,,,
2021,Partially disaggregated,17 - Partnerships for the goals,.,,,
2022,Partially disaggregated,17 - Partnerships for the goals,.,,,
2023,Partially disaggregated,17 - Partnerships for the goals,.,,,
2024,Partially disaggregated,17 - Partnerships for the goals,-,,,0.0
2010,Not disaggregated,17 - Partnerships for the goals,.,,,
2011,Not disaggregated,17 - Partnerships for the goals,.,,,
2012,Not disaggregated,17 - Partnerships for the goals,.,,,
2013,Not disaggregated,17 - Partnerships for the goals,.,,,
2014,Not disaggregated,17 - Partnerships for the goals,.,,,
2015,Not disaggregated,17 - Partnerships for the goals,.,,,
2016,Not disaggregated,17 - Partnerships for the goals,.,,,
2017,Not disaggregated,17 - Partnerships for the goals,.,,,
2018,Not disaggregated,17 - Partnerships for the goals,.,,,
2019,Not disaggregated,17 - Partnerships for the goals,.,,,
2020,Not disaggregated,17 - Partnerships for the goals,.,,,
2021,Not disaggregated,17 - Partnerships for the goals,.,,,
2022,Not disaggregated,17 - Partnerships for the goals,.,,,
2023,Not disaggregated,17 - Partnerships for the goals,.,,,
2024,Not disaggregated,17 - Partnerships for the goals,,,,75.0
