Year,Units,Age group,Sex,Victim-Suspect Relationship,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,Number,18 to under 21 years,Male,,,,,104.9
2019,Number,18 to under 21 years,Male,,,,,107.7
2020,Number,18 to under 21 years,Male,,,,,195.4
2021,Number,18 to under 21 years,Male,,,,,241.3
2022,Number,18 to under 21 years,Male,,,,,238.6
2023,Number,18 to under 21 years,Male,,,,,251.1
2024,Number,18 to under 21 years,Male,,…,,,
2010,Number,21 to under 60 years,Female,,,,,71.7
2011,Number,21 to under 60 years,Female,,,,,67.1
2012,Number,21 to under 60 years,Female,,,,,110.7
2013,Number,21 to under 60 years,Female,,,,,101.4
2014,Number,21 to under 60 years,Female,,,,,84.8
2015,Number,21 to under 60 years,Female,,,,,85.0
2016,Number,21 to under 60 years,Female,,,,,80.7
2017,Number,21 to under 60 years,Female,,,,,91.3
2018,Number,21 to under 60 years,Female,,,,,136.3
2019,Number,21 to under 60 years,Female,,,,,137.2
2020,Number,21 to under 60 years,Female,,,,,244.7
2021,Number,21 to under 60 years,Female,,,,,293.8
2022,Number,21 to under 60 years,Female,,,,,273.9
2023,Number,21 to under 60 years,Female,,,,,271.5
2024,Number,21 to under 60 years,Female,,…,,,
2010,Number,21 to under 60 years,Male,,,,,0.99
2011,Number,21 to under 60 years,Male,,,,,0.92
2012,Number,21 to under 60 years,Male,,,,,0.82
2013,Number,21 to under 60 years,Male,,,,,0.85
2014,Number,21 to under 60 years,Male,,,,,0.88
2015,Number,21 to under 60 years,Male,,,,,0.83
2016,Number,21 to under 60 years,Male,,,,,1.17
2017,Number,21 to under 60 years,Male,,,,,0.98
2018,Number,21 to under 60 years,Male,,,,,0.95
2019,Number,21 to under 60 years,Male,,,,,0.75
2020,Number,21 to under 60 years,Male,,,,,0.94
2021,Number,21 to under 60 years,Male,,,,,0.84
2022,Number,21 to under 60 years,Male,,r,,,0.83
2023,Number,21 to under 60 years,Male,,r,,,0.92
2024,Number,21 to under 60 years,Male,,…,,,
2010,Number,60 years and older,Female,,.,,,
2011,Number,60 years and older,Female,,,,,0.73
2012,Number,60 years and older,Female,,,,,0.91
2013,Number,60 years and older,Female,,,,,0.67
2014,Number,60 years and older,Female,,,,,0.64
2015,Number,60 years and older,Female,,,,,0.62
2016,Number,60 years and older,Female,,,,,0.67
2017,Number,60 years and older,Female,,,,,0.65
2018,Number,60 years and older,Female,,,,,0.67
2019,Number,60 years and older,Female,,,,,0.43
2020,Number,60 years and older,Female,,,,,0.74
2021,Number,60 years and older,Female,,,,,0.77
2022,Number,60 years and older,Female,,,,,0.48
2023,Number,60 years and older,Female,,,,,0.66
2024,Number,60 years and older,Female,,…,,,
2010,Number,60 years and older,Male,,.,,,
2011,Number,60 years and older,Male,,,,,0.85
2012,Number,60 years and older,Male,,,,,0.19
2013,Number,60 years and older,Male,,,,,0.37
2014,Number,60 years and older,Male,,,,,0.47
2015,Number,60 years and older,Male,,,,,0.44
2016,Number,60 years and older,Male,,,,,1.1
2017,Number,60 years and older,Male,,,,,0.13
2018,Number,60 years and older,Male,,,,,0.45
2019,Number,60 years and older,Male,,,,,0.36
2020,Number,60 years and older,Male,,,,,0.4
2021,Number,60 years and older,Male,,,,,0.47
2022,Number,60 years and older,Male,,,,,0.46
2023,Number,60 years and older,Male,,,,,0.55
2024,Number,60 years and older,Male,,…,,,
2010,Number,,,Intimate partner or family member,.,,,
2011,Number,,,Intimate partner or family member,,,,1.12
2012,Number,,,Intimate partner or family member,,,,0.92
2013,Number,,,Intimate partner or family member,,,,0.61
2014,Number,,,Intimate partner or family member,,,,0.81
2015,Number,,,Intimate partner or family member,,,,0.71
2016,Number,,,Intimate partner or family member,,,,1.64
2017,Number,,,Intimate partner or family member,,,,0.61
2018,Number,,,Intimate partner or family member,,,,1.0
2019,Number,,,Intimate partner or family member,,,,0.63
2020,Number,,,Intimate partner or family member,,,,0.84
2021,Number,,,Intimate partner or family member,,,,0.78
2022,Number,,,Intimate partner or family member,,,,0.98
2023,Number,,,Intimate partner or family member,,,,0.75
2024,Number,,,Intimate partner or family member,…,,,
2010,Number,,Female,Intimate partner or family member,.,,,
2011,Number,,Female,Intimate partner or family member,,,,0.98
2012,Number,,Female,Intimate partner or family member,,,,0.83
2013,Number,,Female,Intimate partner or family member,,,,0.87
2014,Number,,Female,Intimate partner or family member,,,,0.93
2015,Number,,Female,Intimate partner or family member,,,,0.79
2016,Number,,Female,Intimate partner or family member,,,,1.21
2017,Number,,Female,Intimate partner or family member,,,,0.95
2018,Number,,Female,Intimate partner or family member,,,,1.02
2019,Number,,Female,Intimate partner or family member,,,,0.81
2020,Number,,Female,Intimate partner or family member,,,,0.88
2021,Number,,Female,Intimate partner or family member,,,,0.79
2022,Number,,Female,Intimate partner or family member,,,,0.79
2023,Number,,Female,Intimate partner or family member,,,,1.02
2024,Number,,Female,Intimate partner or family member,…,,,
2010,Number,,Male,Intimate partner or family member,.,,,
2011,Number,,Male,Intimate partner or family member,,,,0.87
2012,Number,,Male,Intimate partner or family member,,,,0.84
2013,Number,,Male,Intimate partner or family member,,,,0.97
2014,Number,,Male,Intimate partner or family member,,,,0.96
2015,Number,,Male,Intimate partner or family member,,,,1.1
2016,Number,,Male,Intimate partner or family member,,,,1.28
2017,Number,,Male,Intimate partner or family member,,,,1.36
2018,Number,,Male,Intimate partner or family member,,,,1.0
2019,Number,,Male,Intimate partner or family member,,,,0.85
2020,Number,,Male,Intimate partner or family member,,,,1.22
2021,Number,,Male,Intimate partner or family member,,,,1.0
2022,Number,,Male,Intimate partner or family member,,,,1.08
2023,Number,,Male,Intimate partner or family member,,,,0.94
2024,Number,,Male,Intimate partner or family member,…,,,
2010,Number,,,Intimate partner,.,,,
2011,Number,,,Intimate partner,,,,0.82
2012,Number,,,Intimate partner,,,,0.72
2013,Number,,,Intimate partner,,,,0.8
2014,Number,,,Intimate partner,,,,0.82
2015,Number,,,Intimate partner,,,,0.79
2016,Number,,,Intimate partner,,,,1.12
2017,Number,,,Intimate partner,,,,0.91
2018,Number,,,Intimate partner,,,,0.87
2019,Number,,,Intimate partner,,,,0.66
2020,Number,,,Intimate partner,,,,0.85
2021,Number,,,Intimate partner,,,,0.8
2022,Number,,,Intimate partner,,,,0.83
2023,Number,,,Intimate partner,,,,0.89
2024,Number,,,Intimate partner,…,,,
2010,Number,,Female,Intimate partner,.,,,
2011,Number,,Female,Intimate partner,,,,1.02
2012,Number,,Female,Intimate partner,,,,0.92
2013,Number,,Female,Intimate partner,,,,0.9
2014,Number,,Female,Intimate partner,,,,0.95
2015,Number,,Female,Intimate partner,,,,0.88
2016,Number,,Female,Intimate partner,,,,1.22
2017,Number,,Female,Intimate partner,,,,1.06
2018,Number,,Female,Intimate partner,,,,1.03
2019,Number,,Female,Intimate partner,,,,0.85
2020,Number,,Female,Intimate partner,,,,1.04
2021,Number,,Female,Intimate partner,,,,0.87
2022,Number,,Female,Intimate partner,,,,0.83
2023,Number,,Female,Intimate partner,,,,0.96
2024,Number,,Female,Intimate partner,…,,,
2010,Number,,Male,Intimate partner,.,,,
2011,Number,,Male,Intimate partner,,,,0.49
2012,Number,,Male,Intimate partner,,,,0.81
2013,Number,,Male,Intimate partner,,,,0.77
2014,Number,,Male,Intimate partner,,,,0.5
2015,Number,,Male,Intimate partner,,,,0.51
2016,Number,,Male,Intimate partner,,,,0.6
2017,Number,,Male,Intimate partner,,,,0.56
2018,Number,,Male,Intimate partner,,,,0.59
2019,Number,,Male,Intimate partner,,,,0.33
2020,Number,,Male,Intimate partner,,,,0.83
2021,Number,,Male,Intimate partner,,,,0.82
2022,Number,,Male,Intimate partner,,,,0.52
2023,Number,,Male,Intimate partner,,,,0.74
2024,Number,,Male,Intimate partner,…,,,
2010,Number,,,Family member,.,,,
2011,Number,,,Family member,,,,0.95
2012,Number,,,Family member,,,,1.0
2013,Number,,,Family member,,,,0.57
2014,Number,,,Family member,,,,0.77
2015,Number,,,Family member,,,,0.72
2016,Number,,,Family member,,,,0.72
2017,Number,,,Family member,,,,0.73
2018,Number,,,Family member,,,,0.74
2019,Number,,,Family member,,,,0.53
2020,Number,,,Family member,,,,0.66
2021,Number,,,Family member,,,,0.72
2022,Number,,,Family member,,,,0.44
2023,Number,,,Family member,,,,0.59
2024,Number,,,Family member,…,,,
2010,Number,,Female,Family member,.,,,
2011,Number,,Female,Family member,,,,0.77
2012,Number,,Female,Family member,‒,,,0.0
2013,Number,,Female,Family member,,,,0.26
2014,Number,,Female,Family member,,,,0.32
2015,Number,,Female,Family member,,,,0.58
2016,Number,,Female,Family member,,,,1.44
2017,Number,,Female,Family member,,,,0.07
2018,Number,,Female,Family member,,,,0.54
2019,Number,,Female,Family member,,,,0.27
2020,Number,,Female,Family member,,,,0.27
2021,Number,,Female,Family member,,,,0.48
2022,Number,,Female,Family member,,,,0.82
2023,Number,,Female,Family member,,,,0.54
2024,Number,,Female,Family member,…,,,
2010,Number,,Male,Family member,.,,,
2011,Number,,Male,Family member,,,,0.92
2012,Number,,Male,Family member,,,,0.37
2013,Number,,Male,Family member,,,,0.49
2014,Number,,Male,Family member,,,,0.61
2015,Number,,Male,Family member,,,,0.3
2016,Number,,Male,Family member,,,,0.78
2017,Number,,Male,Family member,,,,0.18
2018,Number,,Male,Family member,,,,0.38
2019,Number,,Male,Family member,,,,0.45
2020,Number,,Male,Family member,,,,0.52
2021,Number,,Male,Family member,,,,0.45
2022,Number,,Male,Family member,,,,0.13
2023,Number,,Male,Family member,,,,0.56
2024,Number,,Male,Family member,…,,,
