Year,Units,Time series,Type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2020,Cumulative number,germany as provider,,,,,(5) standard material transfer agreements (smtas),12812.0
2021,Cumulative number,germany as provider,,,,,(5) standard material transfer agreements (smtas),13415.0
2022,Cumulative number,germany as provider,,,,,(5) standard material transfer agreements (smtas),13908.0
2023,Cumulative number,germany as provider,,,,,(5) standard material transfer agreements (smtas),14176.0
2024,Cumulative number,germany as provider,,,,,(5) standard material transfer agreements (smtas),14332.0
2025,Cumulative number,germany as provider,,,,,(5) standard material transfer agreements (smtas),14490.0
2026,Cumulative number,germany as provider,,p,,,(5) standard material transfer agreements (smtas),14610.0
2007,Cumulative number,germany as provider,Commercial company,,,,(5) standard material transfer agreements (smtas),0.0
2008,Cumulative number,germany as provider,Commercial company,,,,(5) standard material transfer agreements (smtas),0.0
2009,Cumulative number,germany as provider,Commercial company,,,,(5) standard material transfer agreements (smtas),0.0
2010,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2011,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2012,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2013,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2014,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2015,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2016,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2017,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2018,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2019,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2020,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2021,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2022,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2023,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2024,Cumulative number,germany as provider,Commercial company,‒,,,(5) standard material transfer agreements (smtas),0.0
2025,Cumulative number,germany as provider,Commercial company,,,,(5) standard material transfer agreements (smtas),1.0
2026,Cumulative number,germany as provider,Commercial company,p,,,(5) standard material transfer agreements (smtas),4.0
2007,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),42.0
2008,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),591.0
2009,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),1295.0
2010,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),2132.0
2011,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),3566.0
2012,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),5022.0
2013,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),6314.0
2014,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),7675.0
2015,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),9241.0
2016,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),10560.0
2017,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),11126.0
2018,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),11685.0
2019,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),12256.0
2020,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),12761.0
2021,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),13364.0
2022,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),13850.0
2023,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),14100.0
2024,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),14100.0
2025,Cumulative number,germany as provider,Gene bank,,,,(5) standard material transfer agreements (smtas),14100.0
2026,Cumulative number,germany as provider,Gene bank,p,,,(5) standard material transfer agreements (smtas),14100.0
2007,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),0.0
2008,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),0.0
2009,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),0.0
2010,Cumulative number,germany as provider,National agricultural research centre,‒,,,(5) standard material transfer agreements (smtas),0.0
2011,Cumulative number,germany as provider,National agricultural research centre,‒,,,(5) standard material transfer agreements (smtas),0.0
2012,Cumulative number,germany as provider,National agricultural research centre,‒,,,(5) standard material transfer agreements (smtas),0.0
2013,Cumulative number,germany as provider,National agricultural research centre,‒,,,(5) standard material transfer agreements (smtas),0.0
2014,Cumulative number,germany as provider,National agricultural research centre,‒,,,(5) standard material transfer agreements (smtas),0.0
2015,Cumulative number,germany as provider,National agricultural research centre,‒,,,(5) standard material transfer agreements (smtas),0.0
2016,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),3.0
2017,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),3.0
2018,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),18.0
2019,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),34.0
2020,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),44.0
2021,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),44.0
2022,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),44.0
2023,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),44.0
2024,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),44.0
2025,Cumulative number,germany as provider,National agricultural research centre,,,,(5) standard material transfer agreements (smtas),44.0
2026,Cumulative number,germany as provider,National agricultural research centre,p,,,(5) standard material transfer agreements (smtas),44.0
2007,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),0.0
2008,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),0.0
2009,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),0.0
2010,Cumulative number,germany as provider,Other,‒,,,(5) standard material transfer agreements (smtas),0.0
2011,Cumulative number,germany as provider,Other,‒,,,(5) standard material transfer agreements (smtas),0.0
2012,Cumulative number,germany as provider,Other,‒,,,(5) standard material transfer agreements (smtas),0.0
2013,Cumulative number,germany as provider,Other,‒,,,(5) standard material transfer agreements (smtas),0.0
2014,Cumulative number,germany as provider,Other,‒,,,(5) standard material transfer agreements (smtas),0.0
2015,Cumulative number,germany as provider,Other,‒,,,(5) standard material transfer agreements (smtas),0.0
2016,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),4.0
2017,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),6.0
2018,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),6.0
2019,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),6.0
2020,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),6.0
2021,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),6.0
2022,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),6.0
2023,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),6.0
2024,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),6.0
2025,Cumulative number,germany as provider,Other,,,,(5) standard material transfer agreements (smtas),6.0
2026,Cumulative number,germany as provider,Other,p,,,(5) standard material transfer agreements (smtas),6.0
2007,Cumulative number,germany as provider,Regional organization,,,,(5) standard material transfer agreements (smtas),0.0
2008,Cumulative number,germany as provider,Regional organization,,,,(5) standard material transfer agreements (smtas),0.0
2009,Cumulative number,germany as provider,Regional organization,,,,(5) standard material transfer agreements (smtas),0.0
2010,Cumulative number,germany as provider,Regional organization,‒,,,(5) standard material transfer agreements (smtas),0.0
2011,Cumulative number,germany as provider,Regional organization,‒,,,(5) standard material transfer agreements (smtas),0.0
2012,Cumulative number,germany as provider,Regional organization,‒,,,(5) standard material transfer agreements (smtas),0.0
2013,Cumulative number,germany as provider,Regional organization,‒,,,(5) standard material transfer agreements (smtas),0.0
2014,Cumulative number,germany as provider,Regional organization,‒,,,(5) standard material transfer agreements (smtas),0.0
2015,Cumulative number,germany as provider,Regional organization,‒,,,(5) standard material transfer agreements (smtas),0.0
2016,Cumulative number,germany as provider,Regional organization,‒,,,(5) standard material transfer agreements (smtas),0.0
2017,Cumulative number,germany as provider,Regional organization,‒,,,(5) standard material transfer agreements (smtas),0.0
2018,Cumulative number,germany as provider,Regional organization,‒,,,(5) standard material transfer agreements (smtas),0.0
2019,Cumulative number,germany as provider,Regional organization,‒,,,(5) standard material transfer agreements (smtas),0.0
2020,Cumulative number,germany as provider,Regional organization,,,,(5) standard material transfer agreements (smtas),1.0
2021,Cumulative number,germany as provider,Regional organization,,,,(5) standard material transfer agreements (smtas),1.0
2022,Cumulative number,germany as provider,Regional organization,,,,(5) standard material transfer agreements (smtas),1.0
2023,Cumulative number,germany as provider,Regional organization,,,,(5) standard material transfer agreements (smtas),1.0
2024,Cumulative number,germany as provider,Regional organization,,,,(5) standard material transfer agreements (smtas),1.0
2025,Cumulative number,germany as provider,Regional organization,,,,(5) standard material transfer agreements (smtas),1.0
2026,Cumulative number,germany as provider,Regional organization,p,,,(5) standard material transfer agreements (smtas),1.0
