Year,Vollständigkeit der Disaggregation,Ziel,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,Vollständig disaggregiert,10 - Weniger Ungleichheiten,,,,
2010,Teilweise disaggregiert,10 - Weniger Ungleichheiten,.,,,
2011,Teilweise disaggregiert,10 - Weniger Ungleichheiten,.,,,
2012,Teilweise disaggregiert,10 - Weniger Ungleichheiten,.,,,
2013,Teilweise disaggregiert,10 - Weniger Ungleichheiten,.,,,
2014,Teilweise disaggregiert,10 - Weniger Ungleichheiten,.,,,
2015,Teilweise disaggregiert,10 - Weniger Ungleichheiten,.,,,
2016,Teilweise disaggregiert,10 - Weniger Ungleichheiten,,,,82.7
2017,Teilweise disaggregiert,10 - Weniger Ungleichheiten,.,,,
2018,Teilweise disaggregiert,10 - Weniger Ungleichheiten,,,,92.4
2019,Teilweise disaggregiert,10 - Weniger Ungleichheiten,…,,,
2020,Teilweise disaggregiert,10 - Weniger Ungleichheiten,…,,,
2021,Teilweise disaggregiert,10 - Weniger Ungleichheiten,…,,,
2022,Teilweise disaggregiert,10 - Weniger Ungleichheiten,…,,,
2023,Teilweise disaggregiert,10 - Weniger Ungleichheiten,…,,,
2024,Teilweise disaggregiert,10 - Weniger Ungleichheiten,…,,,
2010,Nicht disaggregiert,10 - Weniger Ungleichheiten,.,,,
2011,Nicht disaggregiert,10 - Weniger Ungleichheiten,.,,,
2012,Nicht disaggregiert,10 - Weniger Ungleichheiten,.,,,
2013,Nicht disaggregiert,10 - Weniger Ungleichheiten,.,,,
2014,Nicht disaggregiert,10 - Weniger Ungleichheiten,.,,,
2015,Nicht disaggregiert,10 - Weniger Ungleichheiten,.,,,
2016,Nicht disaggregiert,10 - Weniger Ungleichheiten,,,,54.7
2017,Nicht disaggregiert,10 - Weniger Ungleichheiten,.,,,
2018,Nicht disaggregiert,10 - Weniger Ungleichheiten,,,,64.3
2019,Nicht disaggregiert,10 - Weniger Ungleichheiten,…,,,
2020,Nicht disaggregiert,10 - Weniger Ungleichheiten,…,,,
2021,Nicht disaggregiert,10 - Weniger Ungleichheiten,…,,,
2022,Nicht disaggregiert,10 - Weniger Ungleichheiten,…,,,
2023,Nicht disaggregiert,10 - Weniger Ungleichheiten,…,,,
2024,Nicht disaggregiert,10 - Weniger Ungleichheiten,…,,,
2010,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,.,,,
2011,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,.,,,
2012,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,.,,,
2013,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,.,,,
2014,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,.,,,
2015,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,.,,,
2016,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,50.9
2017,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,.,,,
2018,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,40.4
2019,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,…,,,
2020,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,…,,,
2021,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,…,,,
2022,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,…,,,
2023,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,…,,,
2024,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,…,,,
2010,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2011,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2012,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2013,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2014,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2015,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2016,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2017,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2018,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,1.0
2019,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2020,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2021,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2022,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2023,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2024,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2010,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,‒,,,0.0
2011,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,‒,,,0.0
2012,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,‒,,,0.0
2013,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,‒,,,0.0
2014,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,‒,,,0.0
2015,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,‒,,,0.0
2016,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,9.0
2017,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,‒,,,0.0
2018,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,‒,,,0.0
2019,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,3.3
2020,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,26.5
2021,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,r,,,25.0
2022,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,30.0
2023,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2024,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,
2010,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2011,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2012,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2013,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2014,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2015,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2016,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,11.06
2017,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2018,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2019,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,3.83
2020,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,30.22
2021,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,27.68
2022,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,31.55
2023,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,
2024,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,
2010,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2011,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2012,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2013,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2014,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2015,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2016,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,9.0
2017,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2018,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2019,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,0.03
2020,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,24.75
2021,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,r,,,25.46
2022,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,30.24
2023,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,
2024,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,
2010,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2011,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2012,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2013,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2014,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2015,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2016,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,11.06
2017,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2018,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,‒,,,0.0
2019,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,0.03
2020,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,28.23
2021,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,28.19
2022,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,31.8
2023,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,…,,,
2024,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,…,,,
2010,Vollständig disaggregiert,15 - Leben an Land,.,,,
2011,Vollständig disaggregiert,15 - Leben an Land,.,,,
2012,Vollständig disaggregiert,15 - Leben an Land,.,,,
2013,Vollständig disaggregiert,15 - Leben an Land,.,,,
2014,Vollständig disaggregiert,15 - Leben an Land,.,,,
2015,Vollständig disaggregiert,15 - Leben an Land,.,,,
2016,Vollständig disaggregiert,15 - Leben an Land,.,,,
2017,Vollständig disaggregiert,15 - Leben an Land,.,,,
2018,Vollständig disaggregiert,15 - Leben an Land,.,,,
2019,Vollständig disaggregiert,15 - Leben an Land,.,,,
2020,Vollständig disaggregiert,15 - Leben an Land,.,,,
2021,Vollständig disaggregiert,15 - Leben an Land,.,,,
2022,Vollständig disaggregiert,15 - Leben an Land,.,,,
2023,Vollständig disaggregiert,15 - Leben an Land,.,,,
2024,Vollständig disaggregiert,15 - Leben an Land,,,,23.0
2010,Teilweise disaggregiert,15 - Leben an Land,.,,,
2011,Teilweise disaggregiert,15 - Leben an Land,.,,,
2012,Teilweise disaggregiert,15 - Leben an Land,.,,,
2013,Teilweise disaggregiert,15 - Leben an Land,.,,,
2014,Teilweise disaggregiert,15 - Leben an Land,.,,,
2015,Teilweise disaggregiert,15 - Leben an Land,.,,,
2016,Teilweise disaggregiert,15 - Leben an Land,.,,,
2017,Teilweise disaggregiert,15 - Leben an Land,.,,,
2018,Teilweise disaggregiert,15 - Leben an Land,.,,,
2019,Teilweise disaggregiert,15 - Leben an Land,.,,,
2020,Teilweise disaggregiert,15 - Leben an Land,.,,,
2021,Teilweise disaggregiert,15 - Leben an Land,.,,,
2022,Teilweise disaggregiert,15 - Leben an Land,.,,,
2023,Teilweise disaggregiert,15 - Leben an Land,.,,,
2024,Teilweise disaggregiert,15 - Leben an Land,,,,23.0
2010,Nicht disaggregiert,15 - Leben an Land,.,,,
2011,Nicht disaggregiert,15 - Leben an Land,.,,,
2012,Nicht disaggregiert,15 - Leben an Land,.,,,
2013,Nicht disaggregiert,15 - Leben an Land,.,,,
2014,Nicht disaggregiert,15 - Leben an Land,.,,,
2015,Nicht disaggregiert,15 - Leben an Land,.,,,
2016,Nicht disaggregiert,15 - Leben an Land,.,,,
2017,Nicht disaggregiert,15 - Leben an Land,.,,,
2018,Nicht disaggregiert,15 - Leben an Land,.,,,
2019,Nicht disaggregiert,15 - Leben an Land,.,,,
2020,Nicht disaggregiert,15 - Leben an Land,.,,,
2021,Nicht disaggregiert,15 - Leben an Land,.,,,
2022,Nicht disaggregiert,15 - Leben an Land,.,,,
2023,Nicht disaggregiert,15 - Leben an Land,.,,,
2024,Nicht disaggregiert,15 - Leben an Land,,,,54.0
2010,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2011,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2012,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2013,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2014,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2015,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2016,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2017,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2018,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2019,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2020,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2021,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2022,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2023,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2024,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",-,,,0.0
2010,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2011,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2012,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2013,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2014,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2015,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2016,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2017,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2018,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2019,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2020,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2021,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2022,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2023,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2024,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",,,,25.0
2010,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2011,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2012,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2013,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2014,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2015,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2016,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2017,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2018,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2019,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2020,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2021,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2022,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2023,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",.,,,
2024,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",,,,75.0
2010,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2011,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2012,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2013,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2014,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2015,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2016,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2017,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2018,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2019,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2020,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2021,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2022,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2023,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2024,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,,,,25.0
2010,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2011,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2012,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2013,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2014,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2015,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2016,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2017,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2018,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2019,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2020,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2021,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2022,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2023,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2024,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,-,,,0.0
2010,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2011,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2012,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2013,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2014,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2015,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2016,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2017,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2018,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2019,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2020,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2021,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2022,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2023,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,.,,,
2024,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,,,,75.0
