Year,Units,Altersklasse,Geschlecht,Opfer-Tatverdächtigen-Beziehung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,Anzahl,60 Jahre und älter,,,,,,1004.9
2017,Anzahl,60 Jahre und älter,,,,,,1602.2
2018,Anzahl,60 Jahre und älter,,,,,,1350.6
2019,Anzahl,60 Jahre und älter,,,,,,1990.5
2020,Anzahl,60 Jahre und älter,,,,,,2084.9
2021,Anzahl,60 Jahre und älter,,,,,,2107.5
2022,Anzahl,60 Jahre und älter,,,,,,2850.2
2023,Anzahl,60 Jahre und älter,,,,,,2161.0
2024,Anzahl,60 Jahre und älter,,,…,,,
2010,Anzahl,,Weiblich,,,,,318.6
2011,Anzahl,,Weiblich,,,,,440.7
2012,Anzahl,,Weiblich,,,,,601.6
2013,Anzahl,,Weiblich,,,,,616.5
2014,Anzahl,,Weiblich,,,,,702.4
2015,Anzahl,,Weiblich,,,,,687.2
2016,Anzahl,,Weiblich,,,,,935.1
2017,Anzahl,,Weiblich,,,,,1321.5
2018,Anzahl,,Weiblich,,,,,1216.5
2019,Anzahl,,Weiblich,,,,,1449.9
2020,Anzahl,,Weiblich,,,,,1787.8
2021,Anzahl,,Weiblich,,,,,2107.5
2022,Anzahl,,Weiblich,,,,,2850.2
2023,Anzahl,,Weiblich,,…,,,
2024,Anzahl,,Weiblich,,…,,,
2010,Anzahl,,Männlich,,,,,318.6
2011,Anzahl,,Männlich,,,,,440.7
2012,Anzahl,,Männlich,,,,,601.6
2013,Anzahl,,Männlich,,,,,616.5
2014,Anzahl,,Männlich,,,,,702.4
2015,Anzahl,,Männlich,,,,,687.2
2016,Anzahl,,Männlich,,,,,935.1
2017,Anzahl,,Männlich,,,,,1321.5
2018,Anzahl,,Männlich,,,,,1216.5
2019,Anzahl,,Männlich,,,,,1449.9
2020,Anzahl,,Männlich,,,,,1787.8
2021,Anzahl,,Männlich,,,,,2107.5
2022,Anzahl,,Männlich,,,,,2850.2
2023,Anzahl,,Männlich,,…,,,
2024,Anzahl,,Männlich,,…,,,
2010,Anzahl,13 Jahre und jünger,Weiblich,,,,,52116.0
2011,Anzahl,13 Jahre und jünger,Weiblich,,,,,54918.0
2012,Anzahl,13 Jahre und jünger,Weiblich,,,,,57022.0
2013,Anzahl,13 Jahre und jünger,Weiblich,,,,,58937.0
2014,Anzahl,13 Jahre und jünger,Weiblich,,,,,63026.0
2015,Anzahl,13 Jahre und jünger,Weiblich,,,,,64748.0
2016,Anzahl,13 Jahre und jünger,Weiblich,,,,,67478.0
2017,Anzahl,13 Jahre und jünger,Weiblich,,,,,70053.0
2018,Anzahl,13 Jahre und jünger,Weiblich,,,,,74164.0
2019,Anzahl,13 Jahre und jünger,Weiblich,,,,,77773.0
2020,Anzahl,13 Jahre und jünger,Weiblich,,,,,79884.0
2021,Anzahl,13 Jahre und jünger,Weiblich,,,,,80334.0
2022,Anzahl,13 Jahre und jünger,Weiblich,,p,,,82268.0
2023,Anzahl,13 Jahre und jünger,Weiblich,,…,,,
2024,Anzahl,13 Jahre und jünger,Weiblich,,…,,,
2010,Anzahl,13 Jahre und jünger,Männlich,,,,,650.7
2011,Anzahl,13 Jahre und jünger,Männlich,,,,,1279.7
2012,Anzahl,13 Jahre und jünger,Männlich,,,,,1085.6
2013,Anzahl,13 Jahre und jünger,Männlich,,,,,1062.5
2014,Anzahl,13 Jahre und jünger,Männlich,,,,,1280.9
2015,Anzahl,13 Jahre und jünger,Männlich,,,,,1429.3
2016,Anzahl,13 Jahre und jünger,Männlich,,,,,1349.8
2017,Anzahl,13 Jahre und jünger,Männlich,,,,,2120.8
2018,Anzahl,13 Jahre und jünger,Männlich,,,,,1755.1
2019,Anzahl,13 Jahre und jünger,Männlich,,,,,2535.6
2020,Anzahl,13 Jahre und jünger,Männlich,,,,,2610.0
2021,Anzahl,13 Jahre und jünger,Männlich,,,,,2566.4
2022,Anzahl,13 Jahre und jünger,Männlich,,,,,3271.2
2023,Anzahl,13 Jahre und jünger,Männlich,,,,,2336.7
2024,Anzahl,13 Jahre und jünger,Männlich,,…,,,
2010,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,650.7
2011,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,1279.7
2012,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,1085.6
2013,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,1062.5
2014,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,1280.9
2015,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,1429.3
2016,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,1349.8
2017,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,2120.8
2018,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,1755.1
2019,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,2535.6
2020,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,2610.0
2021,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,2566.4
2022,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,3271.2
2023,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,2336.7
2024,Anzahl,14 bis unter 18 Jahre,Weiblich,,…,,,
2010,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,430.5
2011,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,589.1
2012,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,792.4
2013,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,796.3
2014,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,890.8
2015,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,855.6
2016,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,1148.9
2017,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,1599.6
2018,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,1443.6
2019,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,1684.6
2020,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,2038.9
2021,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,2333.3
2022,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,2997.3
2023,Anzahl,14 bis unter 18 Jahre,Männlich,,…,,,
2024,Anzahl,14 bis unter 18 Jahre,Männlich,,…,,,
2010,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,430.5
2011,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,589.1
2012,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,792.4
2013,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,796.3
2014,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,890.8
2015,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,855.6
2016,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,1148.9
2017,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,1599.6
2018,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,1443.6
2019,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,1684.6
2020,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,2038.9
2021,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,2333.3
2022,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,2997.3
2023,Anzahl,18 bis unter 21 Jahre,Weiblich,,…,,,
2024,Anzahl,18 bis unter 21 Jahre,Weiblich,,…,,,
2010,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,48.6
2011,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,46.0
2012,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,77.0
2013,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,71.9
2014,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,61.3
2015,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,62.5
2016,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,60.1
2017,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,69.0
2018,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,104.9
2019,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,107.7
2020,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,195.4
2021,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,241.3
2022,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,238.6
2023,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,251.1
2024,Anzahl,18 bis unter 21 Jahre,Männlich,,…,,,
2010,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,71.7
2011,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,67.1
2012,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,110.7
2013,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,101.4
2014,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,84.8
2015,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,85.0
2016,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,80.7
2017,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,91.3
2018,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,136.3
2019,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,137.2
2020,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,244.7
2021,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,293.8
2022,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,273.9
2023,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,271.5
2024,Anzahl,21 bis unter 60 Jahre,Weiblich,,…,,,
2010,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,0.99
2011,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,0.92
2012,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,0.82
2013,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,0.85
2014,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,0.88
2015,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,0.83
2016,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,1.17
2017,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,0.98
2018,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,0.95
2019,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,0.75
2020,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,0.94
2021,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,0.84
2022,Anzahl,21 bis unter 60 Jahre,Männlich,,r,,,0.83
2023,Anzahl,21 bis unter 60 Jahre,Männlich,,r,,,0.92
2024,Anzahl,21 bis unter 60 Jahre,Männlich,,…,,,
2010,Anzahl,60 Jahre und älter,Weiblich,,.,,,
2011,Anzahl,60 Jahre und älter,Weiblich,,,,,0.73
2012,Anzahl,60 Jahre und älter,Weiblich,,,,,0.91
2013,Anzahl,60 Jahre und älter,Weiblich,,,,,0.67
2014,Anzahl,60 Jahre und älter,Weiblich,,,,,0.64
2015,Anzahl,60 Jahre und älter,Weiblich,,,,,0.62
2016,Anzahl,60 Jahre und älter,Weiblich,,,,,0.67
2017,Anzahl,60 Jahre und älter,Weiblich,,,,,0.65
2018,Anzahl,60 Jahre und älter,Weiblich,,,,,0.67
2019,Anzahl,60 Jahre und älter,Weiblich,,,,,0.43
2020,Anzahl,60 Jahre und älter,Weiblich,,,,,0.74
2021,Anzahl,60 Jahre und älter,Weiblich,,,,,0.77
2022,Anzahl,60 Jahre und älter,Weiblich,,,,,0.48
2023,Anzahl,60 Jahre und älter,Weiblich,,,,,0.66
2024,Anzahl,60 Jahre und älter,Weiblich,,…,,,
2010,Anzahl,60 Jahre und älter,Männlich,,.,,,
2011,Anzahl,60 Jahre und älter,Männlich,,,,,0.85
2012,Anzahl,60 Jahre und älter,Männlich,,,,,0.19
2013,Anzahl,60 Jahre und älter,Männlich,,,,,0.37
2014,Anzahl,60 Jahre und älter,Männlich,,,,,0.47
2015,Anzahl,60 Jahre und älter,Männlich,,,,,0.44
2016,Anzahl,60 Jahre und älter,Männlich,,,,,1.1
2017,Anzahl,60 Jahre und älter,Männlich,,,,,0.13
2018,Anzahl,60 Jahre und älter,Männlich,,,,,0.45
2019,Anzahl,60 Jahre und älter,Männlich,,,,,0.36
2020,Anzahl,60 Jahre und älter,Männlich,,,,,0.4
2021,Anzahl,60 Jahre und älter,Männlich,,,,,0.47
2022,Anzahl,60 Jahre und älter,Männlich,,,,,0.46
2023,Anzahl,60 Jahre und älter,Männlich,,,,,0.55
2024,Anzahl,60 Jahre und älter,Männlich,,…,,,
2010,Anzahl,,,Intimpartner oder Familienmitglied,.,,,
2011,Anzahl,,,Intimpartner oder Familienmitglied,,,,1.12
2012,Anzahl,,,Intimpartner oder Familienmitglied,,,,0.92
2013,Anzahl,,,Intimpartner oder Familienmitglied,,,,0.61
2014,Anzahl,,,Intimpartner oder Familienmitglied,,,,0.81
2015,Anzahl,,,Intimpartner oder Familienmitglied,,,,0.71
2016,Anzahl,,,Intimpartner oder Familienmitglied,,,,1.64
2017,Anzahl,,,Intimpartner oder Familienmitglied,,,,0.61
2018,Anzahl,,,Intimpartner oder Familienmitglied,,,,1.0
2019,Anzahl,,,Intimpartner oder Familienmitglied,,,,0.63
2020,Anzahl,,,Intimpartner oder Familienmitglied,,,,0.84
2021,Anzahl,,,Intimpartner oder Familienmitglied,,,,0.78
2022,Anzahl,,,Intimpartner oder Familienmitglied,,,,0.98
2023,Anzahl,,,Intimpartner oder Familienmitglied,,,,0.75
2024,Anzahl,,,Intimpartner oder Familienmitglied,…,,,
2010,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,.,,,
2011,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,0.98
2012,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,0.83
2013,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,0.87
2014,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,0.93
2015,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,0.79
2016,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,1.21
2017,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,0.95
2018,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,1.02
2019,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,0.81
2020,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,0.88
2021,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,0.79
2022,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,0.79
2023,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,1.02
2024,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,…,,,
2010,Anzahl,,Männlich,Intimpartner oder Familienmitglied,.,,,
2011,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,0.87
2012,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,0.84
2013,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,0.97
2014,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,0.96
2015,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,1.1
2016,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,1.28
2017,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,1.36
2018,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,1.0
2019,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,0.85
2020,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,1.22
2021,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,1.0
2022,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,1.08
2023,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,0.94
2024,Anzahl,,Männlich,Intimpartner oder Familienmitglied,…,,,
2010,Anzahl,,,Intimpartner,.,,,
2011,Anzahl,,,Intimpartner,,,,0.82
2012,Anzahl,,,Intimpartner,,,,0.72
2013,Anzahl,,,Intimpartner,,,,0.8
2014,Anzahl,,,Intimpartner,,,,0.82
2015,Anzahl,,,Intimpartner,,,,0.79
2016,Anzahl,,,Intimpartner,,,,1.12
2017,Anzahl,,,Intimpartner,,,,0.91
2018,Anzahl,,,Intimpartner,,,,0.87
2019,Anzahl,,,Intimpartner,,,,0.66
2020,Anzahl,,,Intimpartner,,,,0.85
2021,Anzahl,,,Intimpartner,,,,0.8
2022,Anzahl,,,Intimpartner,,,,0.83
2023,Anzahl,,,Intimpartner,,,,0.89
2024,Anzahl,,,Intimpartner,…,,,
2010,Anzahl,,Weiblich,Intimpartner,.,,,
2011,Anzahl,,Weiblich,Intimpartner,,,,1.02
2012,Anzahl,,Weiblich,Intimpartner,,,,0.92
2013,Anzahl,,Weiblich,Intimpartner,,,,0.9
2014,Anzahl,,Weiblich,Intimpartner,,,,0.95
2015,Anzahl,,Weiblich,Intimpartner,,,,0.88
2016,Anzahl,,Weiblich,Intimpartner,,,,1.22
2017,Anzahl,,Weiblich,Intimpartner,,,,1.06
2018,Anzahl,,Weiblich,Intimpartner,,,,1.03
2019,Anzahl,,Weiblich,Intimpartner,,,,0.85
2020,Anzahl,,Weiblich,Intimpartner,,,,1.04
2021,Anzahl,,Weiblich,Intimpartner,,,,0.87
2022,Anzahl,,Weiblich,Intimpartner,,,,0.83
2023,Anzahl,,Weiblich,Intimpartner,,,,0.96
2024,Anzahl,,Weiblich,Intimpartner,…,,,
2010,Anzahl,,Männlich,Intimpartner,.,,,
2011,Anzahl,,Männlich,Intimpartner,,,,0.49
2012,Anzahl,,Männlich,Intimpartner,,,,0.81
2013,Anzahl,,Männlich,Intimpartner,,,,0.77
2014,Anzahl,,Männlich,Intimpartner,,,,0.5
2015,Anzahl,,Männlich,Intimpartner,,,,0.51
2016,Anzahl,,Männlich,Intimpartner,,,,0.6
2017,Anzahl,,Männlich,Intimpartner,,,,0.56
2018,Anzahl,,Männlich,Intimpartner,,,,0.59
2019,Anzahl,,Männlich,Intimpartner,,,,0.33
2020,Anzahl,,Männlich,Intimpartner,,,,0.83
2021,Anzahl,,Männlich,Intimpartner,,,,0.82
2022,Anzahl,,Männlich,Intimpartner,,,,0.52
2023,Anzahl,,Männlich,Intimpartner,,,,0.74
2024,Anzahl,,Männlich,Intimpartner,…,,,
2010,Anzahl,,,Familienmitglied,.,,,
2011,Anzahl,,,Familienmitglied,,,,0.95
2012,Anzahl,,,Familienmitglied,,,,1.0
2013,Anzahl,,,Familienmitglied,,,,0.57
2014,Anzahl,,,Familienmitglied,,,,0.77
2015,Anzahl,,,Familienmitglied,,,,0.72
2016,Anzahl,,,Familienmitglied,,,,0.72
2017,Anzahl,,,Familienmitglied,,,,0.73
2018,Anzahl,,,Familienmitglied,,,,0.74
2019,Anzahl,,,Familienmitglied,,,,0.53
2020,Anzahl,,,Familienmitglied,,,,0.66
2021,Anzahl,,,Familienmitglied,,,,0.72
2022,Anzahl,,,Familienmitglied,,,,0.44
2023,Anzahl,,,Familienmitglied,,,,0.59
2024,Anzahl,,,Familienmitglied,…,,,
2010,Anzahl,,Weiblich,Familienmitglied,.,,,
2011,Anzahl,,Weiblich,Familienmitglied,,,,0.77
2012,Anzahl,,Weiblich,Familienmitglied,‒,,,0.0
2013,Anzahl,,Weiblich,Familienmitglied,,,,0.26
2014,Anzahl,,Weiblich,Familienmitglied,,,,0.32
2015,Anzahl,,Weiblich,Familienmitglied,,,,0.58
2016,Anzahl,,Weiblich,Familienmitglied,,,,1.44
2017,Anzahl,,Weiblich,Familienmitglied,,,,0.07
2018,Anzahl,,Weiblich,Familienmitglied,,,,0.54
2019,Anzahl,,Weiblich,Familienmitglied,,,,0.27
2020,Anzahl,,Weiblich,Familienmitglied,,,,0.27
2021,Anzahl,,Weiblich,Familienmitglied,,,,0.48
2022,Anzahl,,Weiblich,Familienmitglied,,,,0.82
2023,Anzahl,,Weiblich,Familienmitglied,,,,0.54
2024,Anzahl,,Weiblich,Familienmitglied,…,,,
2010,Anzahl,,Männlich,Familienmitglied,.,,,
2011,Anzahl,,Männlich,Familienmitglied,,,,0.92
2012,Anzahl,,Männlich,Familienmitglied,,,,0.37
2013,Anzahl,,Männlich,Familienmitglied,,,,0.49
2014,Anzahl,,Männlich,Familienmitglied,,,,0.61
2015,Anzahl,,Männlich,Familienmitglied,,,,0.3
2016,Anzahl,,Männlich,Familienmitglied,,,,0.78
2017,Anzahl,,Männlich,Familienmitglied,,,,0.18
2018,Anzahl,,Männlich,Familienmitglied,,,,0.38
2019,Anzahl,,Männlich,Familienmitglied,,,,0.45
2020,Anzahl,,Männlich,Familienmitglied,,,,0.52
2021,Anzahl,,Männlich,Familienmitglied,,,,0.45
2022,Anzahl,,Männlich,Familienmitglied,,,,0.13
2023,Anzahl,,Männlich,Familienmitglied,,,,0.56
2024,Anzahl,,Männlich,Familienmitglied,…,,,
