Year,Zeitreihe,Altersklasse,Geschlecht,Art der physischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,12.0
2017,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,16.0
2018,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,4.0
2019,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,5.0
2020,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,13.0
2021,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,1.0
2022,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,7.0
2023,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,1.0
2010,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,79.0
2011,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,77.0
2012,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,88.0
2013,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,61.0
2014,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,52.0
2015,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,71.0
2016,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,84.0
2017,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,46.0
2018,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,64.0
2019,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,56.0
2020,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,66.0
2021,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,53.0
2022,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,49.0
2023,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,60.0
2010,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,254.0
2011,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,268.0
2012,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,223.0
2013,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,209.0
2014,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,209.0
2015,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,148.0
2016,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,118.0
2017,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,157.0
2018,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,130.0
2019,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,76.0
2020,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,88.0
2021,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,77.0
2022,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,96.0
2023,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,66.0
2010,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,127.0
2011,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,135.0
2012,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,123.0
2013,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,111.0
2014,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,115.0
2015,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,68.0
2016,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,109.0
2017,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,110.0
2018,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,93.0
2019,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,79.0
2020,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,78.0
2021,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,83.0
2022,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,91.0
2023,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,72.0
2010,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,129.0
2011,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,133.0
2012,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,156.0
2013,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,142.0
2014,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,164.0
2015,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,98.0
2016,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,142.0
2017,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,149.0
2018,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,126.0
2019,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,205.0
2020,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,146.0
2021,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,181.0
2022,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,223.0
2023,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,187.0
2010,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,8.0
2011,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,13.0
2012,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,10.0
2013,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,10.0
2014,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,12.0
2015,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,25.0
2016,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,23.0
2017,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,11.0
2018,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,13.0
2019,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,6.0
2020,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,15.0
2021,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,22.0
2022,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,10.0
2023,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Raub,,,,,20.0
2010,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,,,,7.0
2013,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,,,,13.0
2014,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,,,,4.0
2015,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,,,,8.0
2016,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,,,,13.0
2017,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,,,,25.0
2018,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,,,,8.0
2019,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,,,,19.0
2020,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,,,,18.0
2021,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,,,,72.0
2022,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,,,,266.0
2023,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Raub,,,,,53.0
2010,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,5.0
2013,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,47.0
2014,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,22.0
2015,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,44.0
2016,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,34.0
2017,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,154.0
2018,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,54.0
2019,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,24.0
2020,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,55.0
2021,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,74.0
2022,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,747.0
2023,a) Anzeigequote bei physischer Gewalt,,Weiblich,Raub,,,,,129.0
2010,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,2.0
2013,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,1.0
2014,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,0.0
2015,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,2.0
2016,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,1.0
2017,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,1.0
2018,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,1.0
2019,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,0.0
2020,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,0.0
2021,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,1.0
2022,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,6.0
2023,a) Anzeigequote bei physischer Gewalt,,Männlich,Raub,,,,,1.0
2010,b) Anzeigequote bei psychischer Gewalt,,,,,,,,588.0
2011,b) Anzeigequote bei psychischer Gewalt,,,,,,,,599.0
2012,b) Anzeigequote bei psychischer Gewalt,,,,,,,,590.0
2013,b) Anzeigequote bei psychischer Gewalt,,,,,,,,518.0
2014,b) Anzeigequote bei psychischer Gewalt,,,,,,,,531.0
2015,b) Anzeigequote bei psychischer Gewalt,,,,,,,,399.0
2016,b) Anzeigequote bei psychischer Gewalt,,,,,,,,466.0
2017,b) Anzeigequote bei psychischer Gewalt,,,,,,,,484.0
2018,b) Anzeigequote bei psychischer Gewalt,,,,,,,,413.0
2019,b) Anzeigequote bei psychischer Gewalt,,,,,,,,405.0
2020,b) Anzeigequote bei psychischer Gewalt,,,,,,,,381.0
2021,b) Anzeigequote bei psychischer Gewalt,,,,,,,,387.0
2022,b) Anzeigequote bei psychischer Gewalt,,,,,,,,453.0
2023,b) Anzeigequote bei psychischer Gewalt,,,,,,,,385.0
2010,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,17.0
2011,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,34.0
2012,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,19.0
2013,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,23.0
2014,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,26.0
2015,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,11.0
2016,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,17.0
2017,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,4.0
2018,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,14.0
2019,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,22.0
2020,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,23.0
2021,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,23.0
2022,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,16.0
2023,b) Anzeigequote bei psychischer Gewalt,16 bis unter 25 Jahre,,,,,,,13.0
2010,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,5.0
2011,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,6.0
2012,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,3.0
2013,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,1.0
2014,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,0.0
2015,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,6.0
2016,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,5.0
2017,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,1.0
2018,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,3.0
2019,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,0.0
2020,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,2.0
2021,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,7.0
2022,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,7.0
2023,b) Anzeigequote bei psychischer Gewalt,25 bis unter 35 Jahre,,,,,,,8.0
2010,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2011,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2012,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2013,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2014,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2015,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2016,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2017,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2018,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2019,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2020,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,,,,31.3
2021,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,…,,,
2022,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,…,,,
2023,b) Anzeigequote bei psychischer Gewalt,35 bis unter 45 Jahre,,,,…,,,
2010,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2011,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2012,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2013,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2014,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2015,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2016,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2017,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2018,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2019,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2020,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,,,,19.5
2021,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,…,,,
2022,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,…,,,
2023,b) Anzeigequote bei psychischer Gewalt,45 bis unter 55 Jahre,,,,…,,,
2010,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2011,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2012,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2013,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2014,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2015,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2016,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2017,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2018,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2019,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2020,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,,,,33.0
2021,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,…,,,
2022,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,…,,,
2023,b) Anzeigequote bei psychischer Gewalt,55 bis unter 65 Jahre,,,,…,,,
2010,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,.,,,
2011,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,.,,,
2012,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,.,,,
2013,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,.,,,
2014,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,.,,,
2015,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,.,,,
2016,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,.,,,
2017,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,.,,,
2018,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,.,,,
2019,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,.,,,
2020,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,,,,40.3
2021,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,…,,,
2022,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,…,,,
2023,b) Anzeigequote bei psychischer Gewalt,65 bis unter 75 Jahre,,,,…,,,
2010,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,.,,,
2011,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,.,,,
2012,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,.,,,
2013,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,.,,,
2014,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,.,,,
2015,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,.,,,
2016,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,.,,,
2017,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,.,,,
2018,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,.,,,
2019,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,.,,,
2020,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,,,,37.6
2021,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,…,,,
2022,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,…,,,
2023,b) Anzeigequote bei psychischer Gewalt,75 Jahre und älter,,,,…,,,
2010,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,.,,,
2011,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,.,,,
2012,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,.,,,
2013,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,.,,,
2014,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,.,,,
2015,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,.,,,
2016,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,.,,,
2017,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,.,,,
2018,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,.,,,
2019,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,.,,,
2020,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,,,,32.2
2021,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,…,,,
2022,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,…,,,
2023,b) Anzeigequote bei psychischer Gewalt,,Weiblich,,,…,,,
2010,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,.,,,
2011,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,.,,,
2012,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,.,,,
2013,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,.,,,
2014,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,.,,,
2015,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,.,,,
2016,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,.,,,
2017,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,.,,,
2018,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,.,,,
2019,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,.,,,
2020,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,,,,81.8
2021,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,…,,,
2022,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,…,,,
2023,b) Anzeigequote bei psychischer Gewalt,,Männlich,,,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,,,,,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,,,,,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,,,,,.,,,
2013,c) Anzeigequote bei sexueller Gewalt,,,,,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,,,,,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,,,,,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,,,,,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,,,,,.,,,
2018,c) Anzeigequote bei sexueller Gewalt,,,,,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,,,,,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,,,,,,,,52.7
2021,c) Anzeigequote bei sexueller Gewalt,,,,,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,,,,,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,,,,,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,.,,,
2013,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,.,,,
2018,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,,,,18.6
2021,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,.,,,
2013,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,.,,,
2018,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,,,,39.7
2021,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,,,,32.9
2013,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,,,,36.6
