Year,Units,sex,age group,form of exploitation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,number,female,,,,,,535
2015,number,female,,,,,,407
2016,number,female,,,,,,479
2017,number,female,,,,,,509
2018,number,female,,,,,,421
2019,number,female,,,,,,424
2020,number,female,,,,,,399
2021,number,female,,,,,,459
2022,number,female,,,,,,719
2023,number,female,,,,,,460
2024,number,female,,,,,,474
2010,number,male,,,,,,48
2011,number,male,,,,,,42
2012,number,male,,,,,,24
2013,number,male,,,,,,70
2014,number,male,,,,,,48
2015,number,male,,,,,,55
2016,number,male,,,,,,51
2017,number,male,,,,,,158
2018,number,male,,,,,,68
2019,number,male,,,,,,46
2020,number,male,,,,,,78
2021,number,male,,,,,,97
2022,number,male,,,,,,763
2023,number,male,,,,,,142
2024,number,male,,,,,,157
