Year,timeseries,age group,sex,type of physical violence,type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2011,b) psychological violence,45 to under 55 years,,,,.,,,
2012,b) psychological violence,45 to under 55 years,,,,r,,,
2013,b) psychological violence,45 to under 55 years,,,,.,,,
2014,b) psychological violence,45 to under 55 years,,,,.,,,
2015,b) psychological violence,45 to under 55 years,,,,.,,,
2016,b) psychological violence,45 to under 55 years,,,,.,,,
2017,b) psychological violence,45 to under 55 years,,,,r,,,
2018,b) psychological violence,45 to under 55 years,,,,.,,,
2019,b) psychological violence,45 to under 55 years,,,,.,,,
2020,b) psychological violence,45 to under 55 years,,,,|,r,,5.7
2021,b) psychological violence,45 to under 55 years,,,,…,,,
2022,b) psychological violence,45 to under 55 years,,,,…,,,
2023,b) psychological violence,45 to under 55 years,,,,…,,,
2024,b) psychological violence,45 to under 55 years,,,,…,,,
2010,b) psychological violence,55 to under 65 years,,,,.,,,
2011,b) psychological violence,55 to under 65 years,,,,.,,,
2012,b) psychological violence,55 to under 65 years,,,,r,,,
2013,b) psychological violence,55 to under 65 years,,,,.,,,
2014,b) psychological violence,55 to under 65 years,,,,.,,,
2015,b) psychological violence,55 to under 65 years,,,,.,,,
2016,b) psychological violence,55 to under 65 years,,,,.,,,
2017,b) psychological violence,55 to under 65 years,,,,r,,,
2018,b) psychological violence,55 to under 65 years,,,,.,,,
2019,b) psychological violence,55 to under 65 years,,,,.,,,
2020,b) psychological violence,55 to under 65 years,,,,|,r,,3.7
2021,b) psychological violence,55 to under 65 years,,,,…,,,
2022,b) psychological violence,55 to under 65 years,,,,…,,,
2023,b) psychological violence,55 to under 65 years,,,,…,,,
2024,b) psychological violence,55 to under 65 years,,,,…,,,
2010,b) psychological violence,65 to under 75 years,,,,.,,,
2011,b) psychological violence,65 to under 75 years,,,,.,,,
2012,b) psychological violence,65 to under 75 years,,,,r,,,
2013,b) psychological violence,65 to under 75 years,,,,.,,,
2014,b) psychological violence,65 to under 75 years,,,,.,,,
2015,b) psychological violence,65 to under 75 years,,,,.,,,
2016,b) psychological violence,65 to under 75 years,,,,.,,,
2017,b) psychological violence,65 to under 75 years,,,,r,,,
2018,b) psychological violence,65 to under 75 years,,,,.,,,
2019,b) psychological violence,65 to under 75 years,,,,.,,,
2020,b) psychological violence,65 to under 75 years,,,,|,r,,2.2
2021,b) psychological violence,65 to under 75 years,,,,…,,,
2022,b) psychological violence,65 to under 75 years,,,,…,,,
2023,b) psychological violence,65 to under 75 years,,,,…,,,
2024,b) psychological violence,65 to under 75 years,,,,…,,,
2010,b) psychological violence,75 years and older,,,,.,,,
2011,b) psychological violence,75 years and older,,,,.,,,
2012,b) psychological violence,75 years and older,,,,r,,,
2013,b) psychological violence,75 years and older,,,,.,,,
2014,b) psychological violence,75 years and older,,,,.,,,
2015,b) psychological violence,75 years and older,,,,.,,,
2016,b) psychological violence,75 years and older,,,,.,,,
2017,b) psychological violence,75 years and older,,,,r,,,
2018,b) psychological violence,75 years and older,,,,.,,,
2019,b) psychological violence,75 years and older,,,,.,,,
2020,b) psychological violence,75 years and older,,,,|,r,,1.5
2021,b) psychological violence,75 years and older,,,,…,,,
2022,b) psychological violence,75 years and older,,,,…,,,
2023,b) psychological violence,75 years and older,,,,…,,,
2024,b) psychological violence,75 years and older,,,,…,,,
2010,b) psychological violence,,female,,,.,,,
2011,b) psychological violence,,female,,,.,,,
2012,b) psychological violence,,female,,,r,,,
2013,b) psychological violence,,female,,,.,,,
2014,b) psychological violence,,female,,,.,,,
2015,b) psychological violence,,female,,,.,,,
2016,b) psychological violence,,female,,,.,,,
2017,b) psychological violence,,female,,,r,,,
2018,b) psychological violence,,female,,,.,,,
2019,b) psychological violence,,female,,,.,,,
2020,b) psychological violence,,female,,,|,r,,1.3
2021,b) psychological violence,,female,,,…,,,
2022,b) psychological violence,,female,,,…,,,
2023,b) psychological violence,,female,,,…,,,
2024,b) psychological violence,,female,,,…,,,
2010,b) psychological violence,,male,,,.,,,
2011,b) psychological violence,,male,,,.,,,
2012,b) psychological violence,,male,,,.,,,
2013,b) psychological violence,,male,,,.,,,
2014,b) psychological violence,,male,,,.,,,
2015,b) psychological violence,,male,,,.,,,
2016,b) psychological violence,,male,,,.,,,
2017,b) psychological violence,,male,,,r,,,
2018,b) psychological violence,,male,,,.,,,
2019,b) psychological violence,,male,,,.,,,
2020,b) psychological violence,,male,,,|,r,,1.2
2021,b) psychological violence,,male,,,…,,,
2022,b) psychological violence,,male,,,…,,,
2023,b) psychological violence,,male,,,…,,,
2024,b) psychological violence,,male,,,…,,,
2010,c) sexual violence,,,,,.,,,
2011,c) sexual violence,,,,,.,,,
2012,c) sexual violence,,,,,.,,,
2013,c) sexual violence,,,,,.,,,
2014,c) sexual violence,,,,,.,,,
2015,c) sexual violence,,,,,.,,,
2016,c) sexual violence,,,,,.,,,
2017,c) sexual violence,,,,,r,,,
2018,c) sexual violence,,,,,.,,,
2019,c) sexual violence,,,,,.,,,
2020,c) sexual violence,,,,,|,r,,1
2021,c) sexual violence,,,,,…,,,
2022,c) sexual violence,,,,,…,,,
2023,c) sexual violence,,,,,…,,,
2024,c) sexual violence,,,,,…,,,
2010,c) sexual violence,16 to under 25 years,,,,.,,,
2011,c) sexual violence,16 to under 25 years,,,,.,,,
2012,c) sexual violence,16 to under 25 years,,,,r,,,
2013,c) sexual violence,16 to under 25 years,,,,.,,,
2014,c) sexual violence,16 to under 25 years,,,,.,,,
2015,c) sexual violence,16 to under 25 years,,,,.,,,
2016,c) sexual violence,16 to under 25 years,,,,.,,,
2017,c) sexual violence,16 to under 25 years,,,,r,,,
2018,c) sexual violence,16 to under 25 years,,,,.,,,
2019,c) sexual violence,16 to under 25 years,,,,.,,,
2020,c) sexual violence,16 to under 25 years,,,,|,r,,1.6
2021,c) sexual violence,16 to under 25 years,,,,…,,,
2022,c) sexual violence,16 to under 25 years,,,,…,,,
2023,c) sexual violence,16 to under 25 years,,,,…,,,
2024,c) sexual violence,16 to under 25 years,,,,…,,,
2010,c) sexual violence,25 to under 35 years,,,,.,,,
2011,c) sexual violence,25 to under 35 years,,,,.,,,
2012,c) sexual violence,25 to under 35 years,,,,r,,,
2013,c) sexual violence,25 to under 35 years,,,,.,,,
2014,c) sexual violence,25 to under 35 years,,,,.,,,
2015,c) sexual violence,25 to under 35 years,,,,.,,,
2016,c) sexual violence,25 to under 35 years,,,,.,,,
2017,c) sexual violence,25 to under 35 years,,,,r,,,
2018,c) sexual violence,25 to under 35 years,,,,.,,,
2019,c) sexual violence,25 to under 35 years,,,,.,,,
2020,c) sexual violence,25 to under 35 years,,,,|,r,,3
2021,c) sexual violence,25 to under 35 years,,,,…,,,
2022,c) sexual violence,25 to under 35 years,,,,…,,,
2023,c) sexual violence,25 to under 35 years,,,,…,,,
2024,c) sexual violence,25 to under 35 years,,,,…,,,
2010,c) sexual violence,35 to under 45 years,,,,.,,,
2011,c) sexual violence,35 to under 45 years,,,,.,,,
2012,c) sexual violence,35 to under 45 years,,,,,,,2.7
2013,c) sexual violence,35 to under 45 years,,,,.,,,
2014,c) sexual violence,35 to under 45 years,,,,.,,,
2015,c) sexual violence,35 to under 45 years,,,,.,,,
2016,c) sexual violence,35 to under 45 years,,,,.,,,
2017,c) sexual violence,35 to under 45 years,,,,,,,3.0
2018,c) sexual violence,35 to under 45 years,,,,.,,,
2019,c) sexual violence,35 to under 45 years,,,,.,,,
2020,c) sexual violence,35 to under 45 years,,,,,,,2.0
2021,c) sexual violence,35 to under 45 years,,,,…,,,
2022,c) sexual violence,35 to under 45 years,,,,…,,,
2023,c) sexual violence,35 to under 45 years,,,,…,,,
2024,c) sexual violence,35 to under 45 years,,,,…,,,
2010,c) sexual violence,45 to under 55 years,,,,.,,,
2011,c) sexual violence,45 to under 55 years,,,,.,,,
2012,c) sexual violence,45 to under 55 years,,,,,,,10.1
2013,c) sexual violence,45 to under 55 years,,,,.,,,
2014,c) sexual violence,45 to under 55 years,,,,.,,,
2015,c) sexual violence,45 to under 55 years,,,,.,,,
2016,c) sexual violence,45 to under 55 years,,,,.,,,
2017,c) sexual violence,45 to under 55 years,,,,,,,10.4
2018,c) sexual violence,45 to under 55 years,,,,.,,,
2019,c) sexual violence,45 to under 55 years,,,,.,,,
2020,c) sexual violence,45 to under 55 years,,,,,,,4.6
2021,c) sexual violence,45 to under 55 years,,,,…,,,
2022,c) sexual violence,45 to under 55 years,,,,…,,,
2023,c) sexual violence,45 to under 55 years,,,,…,,,
2024,c) sexual violence,45 to under 55 years,,,,…,,,
2010,c) sexual violence,55 to under 65 years,,,,.,,,
2011,c) sexual violence,55 to under 65 years,,,,.,,,
2012,c) sexual violence,55 to under 65 years,,,,,,,0.4
2013,c) sexual violence,55 to under 65 years,,,,.,,,
2014,c) sexual violence,55 to under 65 years,,,,.,,,
2015,c) sexual violence,55 to under 65 years,,,,.,,,
2016,c) sexual violence,55 to under 65 years,,,,.,,,
2017,c) sexual violence,55 to under 65 years,,,,,,,4.6
2018,c) sexual violence,55 to under 65 years,,,,.,,,
2019,c) sexual violence,55 to under 65 years,,,,.,,,
2020,c) sexual violence,55 to under 65 years,,,,,,,3.5
2021,c) sexual violence,55 to under 65 years,,,,…,,,
2022,c) sexual violence,55 to under 65 years,,,,…,,,
2023,c) sexual violence,55 to under 65 years,,,,…,,,
2024,c) sexual violence,55 to under 65 years,,,,…,,,
2010,c) sexual violence,65 to under 75 years,,,,.,,,
2011,c) sexual violence,65 to under 75 years,,,,.,,,
2012,c) sexual violence,65 to under 75 years,,,,,,,2.4
2013,c) sexual violence,65 to under 75 years,,,,.,,,
2014,c) sexual violence,65 to under 75 years,,,,.,,,
2015,c) sexual violence,65 to under 75 years,,,,.,,,
2016,c) sexual violence,65 to under 75 years,,,,.,,,
2017,c) sexual violence,65 to under 75 years,,,,,,,2.8
2018,c) sexual violence,65 to under 75 years,,,,.,,,
2019,c) sexual violence,65 to under 75 years,,,,.,,,
2020,c) sexual violence,65 to under 75 years,,,,,,,2.0
2021,c) sexual violence,65 to under 75 years,,,,…,,,
2022,c) sexual violence,65 to under 75 years,,,,…,,,
2023,c) sexual violence,65 to under 75 years,,,,…,,,
2024,c) sexual violence,65 to under 75 years,,,,…,,,
2010,c) sexual violence,75 years and older,,,,.,,,
2011,c) sexual violence,75 years and older,,,,.,,,
2012,c) sexual violence,75 years and older,,,,,,,1.9
2013,c) sexual violence,75 years and older,,,,.,,,
2014,c) sexual violence,75 years and older,,,,.,,,
2015,c) sexual violence,75 years and older,,,,.,,,
2016,c) sexual violence,75 years and older,,,,.,,,
2017,c) sexual violence,75 years and older,,,,,,,2.3
2018,c) sexual violence,75 years and older,,,,.,,,
2019,c) sexual violence,75 years and older,,,,.,,,
2020,c) sexual violence,75 years and older,,,,,,,1.4
2021,c) sexual violence,75 years and older,,,,…,,,
2022,c) sexual violence,75 years and older,,,,…,,,
2023,c) sexual violence,75 years and older,,,,…,,,
2024,c) sexual violence,75 years and older,,,,…,,,
2010,c) sexual violence,,female,,,.,,,
2011,c) sexual violence,,female,,,.,,,
2012,c) sexual violence,,female,,,,,,0.6
2013,c) sexual violence,,female,,,.,,,
2014,c) sexual violence,,female,,,.,,,
2015,c) sexual violence,,female,,,.,,,
2016,c) sexual violence,,female,,,.,,,
2017,c) sexual violence,,female,,,,,,1.4
2018,c) sexual violence,,female,,,.,,,
2019,c) sexual violence,,female,,,.,,,
2020,c) sexual violence,,female,,,,,,1.2
2021,c) sexual violence,,female,,,…,,,
2022,c) sexual violence,,female,,,…,,,
2023,c) sexual violence,,female,,,…,,,
2024,c) sexual violence,,female,,,…,,,
2010,c) sexual violence,,male,,,.,,,
2011,c) sexual violence,,male,,,.,,,
2012,c) sexual violence,,male,,,.,,,
2013,c) sexual violence,,male,,,.,,,
2014,c) sexual violence,,male,,,.,,,
2015,c) sexual violence,,male,,,.,,,
2016,c) sexual violence,,male,,,.,,,
2017,c) sexual violence,,male,,,,,,0.6
2018,c) sexual violence,,male,,,.,,,
2019,c) sexual violence,,male,,,.,,,
2020,c) sexual violence,,male,,,,,,1.0
2021,c) sexual violence,,male,,,…,,,
2022,c) sexual violence,,male,,,…,,,
2023,c) sexual violence,,male,,,…,,,
2024,c) sexual violence,,male,,,…,,,
2010,c) sexual violence,,,,physical sexual assault,.,,,
2011,c) sexual violence,,,,physical sexual assault,.,,,
2012,c) sexual violence,,,,physical sexual assault,.,,,
2013,c) sexual violence,,,,physical sexual assault,.,,,
2014,c) sexual violence,,,,physical sexual assault,.,,,
2015,c) sexual violence,,,,physical sexual assault,.,,,
2016,c) sexual violence,,,,physical sexual assault,.,,,
2017,c) sexual violence,,,,physical sexual assault,,,,0.2
2018,c) sexual violence,,,,physical sexual assault,.,,,
2019,c) sexual violence,,,,physical sexual assault,.,,,
2020,c) sexual violence,,,,physical sexual assault,,,,0.9
2021,c) sexual violence,,,,physical sexual assault,…,,,
2022,c) sexual violence,,,,physical sexual assault,…,,,
2023,c) sexual violence,,,,physical sexual assault,…,,,
2024,c) sexual violence,,,,physical sexual assault,…,,,
2010,c) sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2011,c) sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2012,c) sexual violence,16 to under 25 years,,,physical sexual assault,,,,1.5
2013,c) sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2014,c) sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2015,c) sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2016,c) sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2017,c) sexual violence,16 to under 25 years,,,physical sexual assault,,,,2.0
2018,c) sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2019,c) sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2020,c) sexual violence,16 to under 25 years,,,physical sexual assault,,,,1.3
2021,c) sexual violence,16 to under 25 years,,,physical sexual assault,…,,,
2022,c) sexual violence,16 to under 25 years,,,physical sexual assault,…,,,
2023,c) sexual violence,16 to under 25 years,,,physical sexual assault,…,,,
2024,c) sexual violence,16 to under 25 years,,,physical sexual assault,…,,,
2010,c) sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2011,c) sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2012,c) sexual violence,25 to under 35 years,,,physical sexual assault,,,,4.0
2013,c) sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2014,c) sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2015,c) sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2016,c) sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2017,c) sexual violence,25 to under 35 years,,,physical sexual assault,,,,4.0
2018,c) sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2019,c) sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2020,c) sexual violence,25 to under 35 years,,,physical sexual assault,,,,2.8
2021,c) sexual violence,25 to under 35 years,,,physical sexual assault,…,,,
2022,c) sexual violence,25 to under 35 years,,,physical sexual assault,…,,,
2023,c) sexual violence,25 to under 35 years,,,physical sexual assault,…,,,
2024,c) sexual violence,25 to under 35 years,,,physical sexual assault,…,,,
2010,c) sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2011,c) sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2012,c) sexual violence,35 to under 45 years,,,physical sexual assault,,,,0.7
2013,c) sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2014,c) sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2015,c) sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2016,c) sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2017,c) sexual violence,35 to under 45 years,,,physical sexual assault,,,,1.0
2018,c) sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2019,c) sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2020,c) sexual violence,35 to under 45 years,,,physical sexual assault,,,,0.6
2021,c) sexual violence,35 to under 45 years,,,physical sexual assault,…,,,
2022,c) sexual violence,35 to under 45 years,,,physical sexual assault,…,,,
2023,c) sexual violence,35 to under 45 years,,,physical sexual assault,…,,,
2024,c) sexual violence,35 to under 45 years,,,physical sexual assault,…,,,
2010,c) sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2011,c) sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2012,c) sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2013,c) sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2014,c) sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2015,c) sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2016,c) sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2017,c) sexual violence,45 to under 55 years,,,physical sexual assault,,,,3.5
2018,c) sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2019,c) sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2020,c) sexual violence,45 to under 55 years,,,physical sexual assault,,,,
2021,c) sexual violence,45 to under 55 years,,,physical sexual assault,…,,,
2022,c) sexual violence,45 to under 55 years,,,physical sexual assault,…,,,
2023,c) sexual violence,45 to under 55 years,,,physical sexual assault,…,,,
2024,c) sexual violence,45 to under 55 years,,,physical sexual assault,…,,,
2010,c) sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2011,c) sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2012,c) sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2013,c) sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2014,c) sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2015,c) sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2016,c) sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2017,c) sexual violence,55 to under 65 years,,,physical sexual assault,,,,1.2
2018,c) sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2019,c) sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2020,c) sexual violence,55 to under 65 years,,,physical sexual assault,,,,0.5
2021,c) sexual violence,55 to under 65 years,,,physical sexual assault,…,,,
2022,c) sexual violence,55 to under 65 years,,,physical sexual assault,…,,,
2023,c) sexual violence,55 to under 65 years,,,physical sexual assault,…,,,
2024,c) sexual violence,55 to under 65 years,,,physical sexual assault,…,,,
2010,c) sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2011,c) sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2012,c) sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2013,c) sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2014,c) sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2015,c) sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2016,c) sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2017,c) sexual violence,65 to under 75 years,,,physical sexual assault,,,,1.0
2018,c) sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2019,c) sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2020,c) sexual violence,65 to under 75 years,,,physical sexual assault,,,,0.6
2021,c) sexual violence,65 to under 75 years,,,physical sexual assault,…,,,
2022,c) sexual violence,65 to under 75 years,,,physical sexual assault,…,,,
2023,c) sexual violence,65 to under 75 years,,,physical sexual assault,…,,,
2024,c) sexual violence,65 to under 75 years,,,physical sexual assault,…,,,
2010,c) sexual violence,75 years and older,,,physical sexual assault,.,,,
2011,c) sexual violence,75 years and older,,,physical sexual assault,.,,,
2012,c) sexual violence,75 years and older,,,physical sexual assault,.,,,
2013,c) sexual violence,75 years and older,,,physical sexual assault,.,,,
2014,c) sexual violence,75 years and older,,,physical sexual assault,.,,,
2015,c) sexual violence,75 years and older,,,physical sexual assault,.,,,
2016,c) sexual violence,75 years and older,,,physical sexual assault,.,,,
2017,c) sexual violence,75 years and older,,,physical sexual assault,,,,0.8
2018,c) sexual violence,75 years and older,,,physical sexual assault,.,,,
2019,c) sexual violence,75 years and older,,,physical sexual assault,.,,,
2020,c) sexual violence,75 years and older,,,physical sexual assault,,,,0.2
2021,c) sexual violence,75 years and older,,,physical sexual assault,…,,,
2022,c) sexual violence,75 years and older,,,physical sexual assault,…,,,
2023,c) sexual violence,75 years and older,,,physical sexual assault,…,,,
2024,c) sexual violence,75 years and older,,,physical sexual assault,…,,,
2010,c) sexual violence,,female,,physical sexual assault,.,,,
2011,c) sexual violence,,female,,physical sexual assault,.,,,
2012,c) sexual violence,,female,,physical sexual assault,.,,,
2013,c) sexual violence,,female,,physical sexual assault,.,,,
2014,c) sexual violence,,female,,physical sexual assault,.,,,
2015,c) sexual violence,,female,,physical sexual assault,.,,,
2016,c) sexual violence,,female,,physical sexual assault,.,,,
2017,c) sexual violence,,female,,physical sexual assault,,,,0.5
2018,c) sexual violence,,female,,physical sexual assault,.,,,
2019,c) sexual violence,,female,,physical sexual assault,.,,,
2020,c) sexual violence,,female,,physical sexual assault,,,,0.4
2021,c) sexual violence,,female,,physical sexual assault,…,,,
2022,c) sexual violence,,female,,physical sexual assault,…,,,
2023,c) sexual violence,,female,,physical sexual assault,…,,,
2024,c) sexual violence,,female,,physical sexual assault,…,,,
2010,c) sexual violence,,male,,physical sexual assault,.,,,
2011,c) sexual violence,,male,,physical sexual assault,.,,,
2012,c) sexual violence,,male,,physical sexual assault,.,,,
2013,c) sexual violence,,male,,physical sexual assault,.,,,
2014,c) sexual violence,,male,,physical sexual assault,.,,,
2015,c) sexual violence,,male,,physical sexual assault,.,,,
2016,c) sexual violence,,male,,physical sexual assault,.,,,
2017,c) sexual violence,,male,,physical sexual assault,,,,0.4
2018,c) sexual violence,,male,,physical sexual assault,.,,,
2019,c) sexual violence,,male,,physical sexual assault,.,,,
2020,c) sexual violence,,male,,physical sexual assault,,,,0.4
2021,c) sexual violence,,male,,physical sexual assault,…,,,
2022,c) sexual violence,,male,,physical sexual assault,…,,,
2023,c) sexual violence,,male,,physical sexual assault,…,,,
2024,c) sexual violence,,male,,physical sexual assault,…,,,
